sample_id	num_contigs	size	gc	md5	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	predicted_mobility	mash_nearest_neighbor	mash_neighbor_distance	mash_neighbor_identification	primary_cluster_id	secondary_cluster_id	predicted_host_range_overall_rank	predicted_host_range_overall_name	observed_host_range_ncbi_rank	observed_host_range_ncbi_name	reported_host_range_lit_rank	reported_host_range_lit_name	associated_pmid(s)
recon_GCF_001896005.1_ASM189600v1_genomic	GCF_001896005.1_ASM189600v1_genomic:AB337	1	17583	0.3617698913723483	8130257cbae629a8ac1f3f81880bd981	rep_cluster_1254	CP033534_00010	-	-	-	-	-	-	non-mobilizable	CP018255	0.0	Acinetobacter baumannii	AB337	AK066	class	Gammaproteobacteria	class	Gammaproteobacteria	-	-	-
recon_GCF_003345235.1_ASM334523v1_genomic	GCF_003345235.1_ASM334523v1_genomic:AF709	1	16095	0.353215284249767	5f8b74f3d2c23af2d588a0905592e4df	rep_cluster_1906	001341__NC_013277_00009	MOBQ	NZ_AEOZ01000236_00020	MPF_T	NZ_AEOZ01000236_00018	-	-	conjugative	CP026339	0.0	Acinetobacter baumannii	AF709	AP699	genus	Acinetobacter	genus	Acinetobacter	-	-	-
recon_GCF_003345235.1_ASM334523v1_genomic	GCF_003345235.1_ASM334523v1_genomic:AB342	1	5281	0.3677333838288203	5eb3c9c5a468212af91bf7c99373ee3c	-	-	MOBQ	CP028799_00003	-	-	-	-	mobilizable	CP026340	0.0	Acinetobacter baumannii	AB342	AK075	class	Gammaproteobacteria	class	Gammaproteobacteria	-	-	-
recon_GCF_003431385.1_ASM343138v1_genomic	GCF_003431385.1_ASM343138v1_genomic:AC716	1	170420	0.38161600751085556	ec41a23789d4ec764931fb82374b87f5	-	-	-	-	-	-	-	-	non-mobilizable	CP022285	0.0	Acinetobacter baumannii	AC716	AM019	genus	Acinetobacter	genus	Acinetobacter	-	-	-
recon_GCF_003431385.1_ASM343138v1_genomic	GCF_003431385.1_ASM343138v1_genomic:AB825	1	12381	0.3374525482594298	8eee2713b14e3e3d1b584e892045aa10	rep_cluster_1259,rep_cluster_1903	000571__CP015620_00012,001339__KY202458_00009	-	-	-	-	-	-	non-mobilizable	CP022284	0.0	Acinetobacter baumannii	AB825	AK772	genus	Acinetobacter	genus	Acinetobacter	-	-	-
recon_GCF_003516005.1_ASM351600v1_genomic	GCF_003516005.1_ASM351600v1_genomic:AB082	1	80546	0.34180468303826383	9331612d4e54023c857ba6665448a815	rep_cluster_734	002211__NC_010606_00001	MOBF	NC_017163_00021	MPF_F	NC_017163_00053,NC_017163_00052,NZ_AEOY01000095_00077,NC_010606_00080,NC_010606_00079,NC_010606_00078,NC_010606_00075,NC_010606_00072,NC_010606_00071,NC_017163_00020,NC_010606_00076	-	-	conjugative	CP033245	0.0	Acinetobacter baumannii	AB082	AJ649	genus	Acinetobacter	genus	Acinetobacter	-	-	-
recon_GCF_003516005.1_ASM351600v1_genomic	GCF_003516005.1_ASM351600v1_genomic:AB825	1	13478	0.34018400356135925	b7174bc3aabb9f38665440587c4653ba	rep_cluster_1259,rep_cluster_1903	000571__CP015620_00012,001339__KY202458_00009	-	-	-	-	-	-	non-mobilizable	CP023032	0.0	Acinetobacter baumannii	AB825	AK772	genus	Acinetobacter	genus	Acinetobacter	-	-	-
recon_GCF_003522665.1_ASM352266v1_genomic	GCF_003522665.1_ASM352266v1_genomic:AB872	1	9024	0.3470744680851064	384d1485aa0aa52589a87bf2b3ddd69a	rep_cluster_1364	000684__NC_013506_00012	MOBQ	NC_013506_00013	-	-	-	-	mobilizable	CP023021	0.0	Acinetobacter baumannii	AB872	AK833	genus	Acinetobacter	genus	Acinetobacter	-	-	-
recon_GCF_003522705.1_ASM352270v1_genomic	GCF_003522705.1_ASM352270v1_genomic:AB114	1	113420	0.41967025216011283	bb9d18d30e0d3526b8bef76b602037c5	rep_cluster_718	002191__CP004359_00001	-	-	-	-	-	-	non-mobilizable	CP023025	0.0	Acinetobacter baumannii	AB114	AJ691	genus	Acinetobacter	genus	Acinetobacter	-	-	-
recon_GCF_003522705.1_ASM352270v1_genomic	GCF_003522705.1_ASM352270v1_genomic:AB337	1	7143	0.32073358532829344	658e2de95bb1257767acd008fa1efcc6	rep_cluster_1254	CP033534_00010	-	-	-	-	-	-	non-mobilizable	CP023024	0.0	Acinetobacter baumannii	AB337	AK065	class	Gammaproteobacteria	class	Gammaproteobacteria	-	-	-
recon_GCF_003522705.1_ASM352270v1_genomic	GCF_003522705.1_ASM352270v1_genomic:AE843	1	5300	0.3511320754716981	e3bafc00650913de45c7045d4f45ce8d	-	-	MOBQ	CP023023_00004	-	-	-	-	mobilizable	CP023023	0.0	Acinetobacter baumannii	AE843	AO707	genus	Acinetobacter	genus	Acinetobacter	-	-	-
recon_GCF_003522785.1_ASM352278v1_genomic	GCF_003522785.1_ASM352278v1_genomic:AB082	1	110728	0.34094357344122533	62364c2619c0a3906d09d5cbeea94b23	rep_cluster_734	002211__NC_010606_00001	MOBF	NC_017163_00021	MPF_F	NC_010606_00071,NC_010606_00072,NC_010606_00075,NC_010606_00078,NC_010606_00079,NC_010606_00080,NZ_AEOY01000095_00077,NC_017163_00052,NC_017163_00053,NC_017163_00020,NC_010606_00076	-	-	conjugative	CP023028	0.0	Acinetobacter baumannii	AB082	AJ649	genus	Acinetobacter	genus	Acinetobacter	-	-	-
recon_GCF_003522785.1_ASM352278v1_genomic	GCF_003522785.1_ASM352278v1_genomic:AB872	1	10062	0.3492347445835818	de15d1550208580c97110610588cb874	rep_cluster_1364	000684__NC_013506_00012	MOBQ	NC_013506_00013	-	-	-	-	mobilizable	CP023027	0.0	Acinetobacter baumannii	AB872	AK833	genus	Acinetobacter	genus	Acinetobacter	-	-	-
recon_GCF_003522845.1_ASM352284v1_genomic	GCF_003522845.1_ASM352284v1_genomic:AB082	1	95206	0.34096590551015693	9137920a910891c440374ac82c6663b6	rep_cluster_734	002211__NC_010606_00001	MOBF	NC_017163_00021	MPF_F	NZ_AEOY01000095_00077,NC_017163_00052,NC_017163_00053,NC_010606_00071,NC_010606_00072,NC_010606_00075,NC_010606_00078,NC_010606_00079,NC_010606_00080,NC_017163_00020,NC_010606_00076	-	-	conjugative	CP023030	0.0	Acinetobacter baumannii	AB082	AJ649	genus	Acinetobacter	genus	Acinetobacter	-	-	-
recon_GCF_003522885.1_ASM352288v1_genomic	GCF_003522885.1_ASM352288v1_genomic:AB872	1	9935	0.3496728736789129	286794cd304d32de586f1331a58dda19	rep_cluster_1364	000684__NC_013506_00012	MOBQ	NC_013506_00013	-	-	-	-	mobilizable	CP023035	0.0	Acinetobacter baumannii	AB872	AK833	genus	Acinetobacter	genus	Acinetobacter	-	-	-
recon_GCF_009497995.1_ASM949799v1_genomic	GCF_009497995.1_ASM949799v1_genomic:AB082	1	80548	0.3417961960570095	00ee5effa12b76ef19c5c8161c89aef7	rep_cluster_734	002211__NC_010606_00001	MOBF	NC_017163_00021	MPF_F	NC_017163_00053,NC_017163_00052,NZ_AEOY01000095_00077,NC_010606_00080,NC_010606_00079,NC_010606_00078,NC_010606_00075,NC_010606_00072,NC_010606_00071,NC_017163_00020,NC_010606_00076	-	-	conjugative	CP033245	0.0	Acinetobacter baumannii	AB082	AJ649	genus	Acinetobacter	genus	Acinetobacter	-	-	-
recon_GCF_009497995.1_ASM949799v1_genomic	GCF_009497995.1_ASM949799v1_genomic:AB825	1	8536	0.3388003748828491	e3a0d8c4a89b809f77656fcd4e9ad122	rep_cluster_1259,rep_cluster_1903	000571__CP015620_00012,001339__KY202458_00009	-	-	-	-	-	-	non-mobilizable	CP033244	0.0	Acinetobacter baumannii	AB825	AK772	genus	Acinetobacter	genus	Acinetobacter	-	-	-
recon_GCF_051294635.1_966CSF_genomic	GCF_051294635.1_966CSF_genomic:AF709	1	16095	0.35315315315315315	6d27be530a8f48acc11c8a80a3d7d4dd	rep_cluster_1906	001341__NC_013277_00009	MOBQ	NZ_AEOZ01000236_00020	MPF_T	NZ_AEOZ01000236_00018	-	-	conjugative	CP026339	9.55247e-05	Acinetobacter baumannii	AF709	AP699	genus	Acinetobacter	genus	Acinetobacter	-	-	-
recon_GCF_051294635.1_966CSF_genomic	GCF_051294635.1_966CSF_genomic:AB342	1	5281	0.3677333838288203	16f4b286aa32192c16ec3cc3f901209d	-	-	MOBQ	CP028799_00003	-	-	-	-	mobilizable	CP026340	7.15897e-05	Acinetobacter baumannii	AB342	AK075	class	Gammaproteobacteria	class	Gammaproteobacteria	-	-	-
recon_GCF_051294635.1_966CSF_genomic	GCF_051294635.1_966CSF_genomic:AB878	1	2726	0.37784299339691857	07f702860365664eee140430105477ff	rep_cluster_420	001756__CU459139_00001	-	-	-	-	-	-	non-mobilizable	CP021783	0.00108342	Acinetobacter baumannii	AB878	AK844	genus	Acinetobacter	genus	Acinetobacter	-	-	-
recon_GCF_051294655.1_721D_genomic	GCF_051294655.1_721D_genomic:AF709	1	16095	0.35315315315315315	2fa33ece617001d6ddec4cc387088823	rep_cluster_1906	001341__NC_013277_00009	MOBQ	NZ_AEOZ01000236_00020	MPF_T	NZ_AEOZ01000236_00018	-	-	conjugative	CP026339	4.76906e-05	Acinetobacter baumannii	AF709	AP699	genus	Acinetobacter	genus	Acinetobacter	-	-	-
recon_GCF_051294655.1_721D_genomic	GCF_051294655.1_721D_genomic:AB342	2	15838	0.36810203308498546	526b389a61de1b2c403f730634a96dc2	-	-	MOBQ	CP028799_00003	-	-	-	-	mobilizable	CP026340	0.000906124	Acinetobacter baumannii	AB342	AK075	class	Gammaproteobacteria	class	Gammaproteobacteria	-	-	-
recon_GCF_051294655.1_721D_genomic	GCF_051294655.1_721D_genomic:AB878	1	2726	0.37784299339691857	d2146da4d529d4464415269cf676c1e1	rep_cluster_420	001756__CU459139_00001	-	-	-	-	-	-	non-mobilizable	CP021783	0.00108342	Acinetobacter baumannii	AB878	AK844	genus	Acinetobacter	genus	Acinetobacter	-	-	-
recon_GCF_051294665.1_815D_genomic	GCF_051294665.1_815D_genomic:AF709	1	16095	0.35315315315315315	8d4e68c1ea69607bc72898de1f40a353	rep_cluster_1906	001341__NC_013277_00009	MOBQ	NZ_AEOZ01000236_00020	MPF_T	NZ_AEOZ01000236_00018	-	-	conjugative	CP026339	7.15897e-05	Acinetobacter baumannii	AF709	AP699	genus	Acinetobacter	genus	Acinetobacter	-	-	-
recon_GCF_051294665.1_815D_genomic	GCF_051294665.1_815D_genomic:AB342	1	5281	0.3677333838288203	e0c48686b6035af8d28a3478a767538a	-	-	MOBQ	CP028799_00003	-	-	-	-	mobilizable	CP026340	0.000119496	Acinetobacter baumannii	AB342	AK075	class	Gammaproteobacteria	class	Gammaproteobacteria	-	-	-
recon_GCF_051294665.1_815D_genomic	GCF_051294665.1_815D_genomic:AB878	1	2726	0.37784299339691857	bd946c8681303b3348a7efdc501417cf	rep_cluster_420	001756__CU459139_00001	-	-	-	-	-	-	non-mobilizable	CP021783	0.00108342	Acinetobacter baumannii	AB878	AK844	genus	Acinetobacter	genus	Acinetobacter	-	-	-
recon_GCF_051294675.1_580D_genomic	GCF_051294675.1_580D_genomic:AF709	1	16095	0.35315315315315315	93f983d44ab5aa66e71c3eacad2a73af	rep_cluster_1906	001341__NC_013277_00009	MOBQ	NZ_AEOZ01000236_00020	MPF_T	NZ_AEOZ01000236_00018	-	-	conjugative	CP026339	7.15897e-05	Acinetobacter baumannii	AF709	AP699	genus	Acinetobacter	genus	Acinetobacter	-	-	-
recon_GCF_051294685.1_600BC_genomic	GCF_051294685.1_600BC_genomic:AF709	1	16095	0.35315315315315315	aa472cb4c75e2c4d5e0638e7f809d5d5	rep_cluster_1906	001341__NC_013277_00009	MOBQ	NZ_AEOZ01000236_00020	MPF_T	NZ_AEOZ01000236_00018	-	-	conjugative	CP026339	0.000119496	Acinetobacter baumannii	AF709	AP699	genus	Acinetobacter	genus	Acinetobacter	-	-	-
recon_GCF_051294685.1_600BC_genomic	GCF_051294685.1_600BC_genomic:AB342	1	5281	0.3677333838288203	0f5c63e55d1b5ef3e1ace9789a5d19c7	-	-	MOBQ	CP028799_00003	-	-	-	-	mobilizable	CP026340	0.000119496	Acinetobacter baumannii	AB342	AK075	class	Gammaproteobacteria	class	Gammaproteobacteria	-	-	-
recon_GCF_051294685.1_600BC_genomic	GCF_051294685.1_600BC_genomic:AB878	1	2726	0.37784299339691857	897f85462f713ce0bea2a355e8ae1ba7	rep_cluster_420	001756__CU459139_00001	-	-	-	-	-	-	non-mobilizable	CP021783	0.00108342	Acinetobacter baumannii	AB878	AK844	genus	Acinetobacter	genus	Acinetobacter	-	-	-
recon_GCF_051294695.1_241D_genomic	GCF_051294695.1_241D_genomic:AF709	1	16095	0.353215284249767	b2759cc0253ce64646d7d1b32cc49167	rep_cluster_1906	001341__NC_013277_00009	MOBQ	NZ_AEOZ01000236_00020	MPF_T	NZ_AEOZ01000236_00018	-	-	conjugative	CP026339	9.55247e-05	Acinetobacter baumannii	AF709	AP699	genus	Acinetobacter	genus	Acinetobacter	-	-	-
recon_GCF_051294695.1_241D_genomic	GCF_051294695.1_241D_genomic:AB342	1	5281	0.3677333838288203	2f743d0567abca46bdf39213bfc0c738	-	-	MOBQ	CP028799_00003	-	-	-	-	mobilizable	CP026340	0.000143503	Acinetobacter baumannii	AB342	AK075	class	Gammaproteobacteria	class	Gammaproteobacteria	-	-	-
recon_GCF_051294705.1_658U_genomic	GCF_051294705.1_658U_genomic:AF709	1	16095	0.353215284249767	d2e6940db1220fb642239f42810d0202	rep_cluster_1906	001341__NC_013277_00009	MOBQ	NZ_AEOZ01000236_00020	MPF_T	NZ_AEOZ01000236_00018	-	-	conjugative	CP026339	0.0	Acinetobacter baumannii	AF709	AP699	genus	Acinetobacter	genus	Acinetobacter	-	-	-
recon_GCF_051294705.1_658U_genomic	GCF_051294705.1_658U_genomic:AB342	1	5281	0.3677333838288203	73fd8d135c93e4b61a3b2adb9979a0b8	-	-	MOBQ	CP028799_00003	-	-	-	-	mobilizable	CP026340	0.000119496	Acinetobacter baumannii	AB342	AK075	class	Gammaproteobacteria	class	Gammaproteobacteria	-	-	-
recon_GCF_051294735.1_361BC_genomic	GCF_051294735.1_361BC_genomic:AF709	1	16095	0.353215284249767	8a9b85a676cd102cde32af05df78ecb9	rep_cluster_1906	001341__NC_013277_00009	MOBQ	NZ_AEOZ01000236_00020	MPF_T	NZ_AEOZ01000236_00018	-	-	conjugative	CP026339	4.76906e-05	Acinetobacter baumannii	AF709	AP699	genus	Acinetobacter	genus	Acinetobacter	-	-	-
recon_GCF_051294735.1_361BC_genomic	GCF_051294735.1_361BC_genomic:AB342	1	5281	0.3677333838288203	b0261bba14f0e859e1002f68d53fc734	-	-	MOBQ	CP028799_00003	-	-	-	-	mobilizable	CP026340	0.000167546	Acinetobacter baumannii	AB342	AK075	class	Gammaproteobacteria	class	Gammaproteobacteria	-	-	-
recon_GCF_051294735.1_361BC_genomic	GCF_051294735.1_361BC_genomic:AB878	1	2726	0.37784299339691857	26073b2baa564f546cf6ce52d3160955	rep_cluster_420	001756__CU459139_00001	-	-	-	-	-	-	non-mobilizable	CP021783	0.00103256	Acinetobacter baumannii	AB878	AK844	genus	Acinetobacter	genus	Acinetobacter	-	-	-
